dataset,accuracy_nn,accuracy_logreg,f1_nn,f1_logreg,auc_nn,auc_logreg,total_data_size,test_size,train_time_nn,train_time_logreg,pred_time_nn,pred_time_logreg
power-at-train.tsv,0.7923195362091064,0.8043010752688172,0.6899082660675049,0.7068568798895536,0.8599337026027076,0.8682606557026455,15971,3255,28.403456983,8.909597263,0.168883082,0.025267002
power-ba-train.tsv,0.8251028656959534,0.8930041152263375,0.9012776017189026,0.9434782608695652,0.630184331797235,0.6422811059907834,2531,486,4.648984209,2.31956522,0.0218023,0.002595592
power-be-train.tsv,0.5985247492790222,0.589041095890411,0.6325940489768982,0.6306818181818182,0.6260906070894025,0.6319588946081116,4765,949,8.377225441,5.092151326,0.045048431,0.007591427
power-bg-train.tsv,0.6776119470596313,0.7082089552238806,0.6609105467796326,0.7164612037708484,0.7451727642276423,0.7819698509485096,6699,1340,12.058416519,2.517238679,0.06850876,0.009534139
power-cz-train.tsv,0.6454477906227112,0.6365655070318282,0.6189339756965637,0.6439448875997099,0.695962435030895,0.7239666287447858,6744,1351,12.296182795,1.882928119,0.067202856,0.016721112
power-dk-train.tsv,0.6838365793228149,0.7335701598579041,0.771794855594635,0.8084291187739464,0.7345709200392568,0.7691800988073257,5493,1126,9.898370579,3.777656917,0.05340824,0.006970813
power-es-ct-train.tsv,0.7896440029144287,0.8025889967637541,0.8410757780075073,0.8629213483146068,0.8746166000557674,0.906682777209778,1525,309,2.868614773,2.326284643,0.014832595,0.003036221
power-es-ga-train.tsv,0.7941176295280457,0.711764705882353,0.7445255517959595,0.772093023255814,0.9349390919158361,0.9436600221483943,953,170,1.862483147,0.953459031,0.00874388,0.002084839
power-es-pv-train.tsv,0.6553191542625427,0.6127659574468085,0.6798418760299683,0.6761565836298933,0.7769311220678321,0.8095024652622143,1031,235,1.944789193,1.256989949,0.010761672,0.002536994
power-es-train.tsv,0.8243243098258972,0.8371621621621622,0.881061315536499,0.898440792246102,0.8656547258593917,0.888904073760777,7198,1480,12.80251646,6.404994637,0.071824605,0.014351456
power-fi-train.tsv,0.6650679707527161,0.6866506794564349,0.6020892858505249,0.6016260162601627,0.7136232561764477,0.7530382147403425,6111,1251,10.908091316,3.975069121,0.067209545,0.006428563
power-fr-train.tsv,0.7026476860046387,0.7489816700610998,0.5609022378921509,0.5797101449275363,0.7598049335480349,0.7971276786082936,9813,1964,17.679464115,2.45565237,0.094889494,0.010141227
power-gb-train.tsv,0.7613945007324219,0.7805614246906127,0.7858594059944153,0.8151068158697864,0.8424444305881755,0.8575414822050866,33257,6626,59.885812398,13.182301314,0.360195178,0.038930615
power-gr-train.tsv,0.8222565650939941,0.839258114374034,0.8612786531448364,0.8712871287128713,0.9342739954808921,0.9306930936241282,6389,1294,11.451041945,4.010274256,0.06319687,0.014044695
power-hr-train.tsv,0.6819923520088196,0.7126436781609196,0.5990338325500488,0.5658465991316932,0.7293462400346222,0.756988557665409,10741,2088,19.781476342,11.869036265,0.103269849,0.018174349
power-hu-train.tsv,0.8665376901626587,0.8278529980657641,0.8565488457679749,0.8043956043956044,0.9363696251048029,0.9254401724757456,2597,517,4.97764043,4.012546897,0.026694838,0.006822367
power-it-train.tsv,0.7432351112365723,0.756464221286831,0.6264216899871826,0.6102021174205967,0.8077819942757845,0.8280307676581825,7848,1663,14.185535854,5.280508518,0.08534366,0.016967018
power-lv-train.tsv,0.7236841917037964,0.6348684210526315,0.5714285969734192,0.112,0.7257644316467846,0.732620320855615,1410,304,2.625252689,5.166391218,0.014835045,0.001776063
power-nl-train.tsv,0.6423267126083374,0.6676980198019802,0.597493052482605,0.5475989890480202,0.6961241271613243,0.7330731713522857,7906,1616,14.528115735,3.939714734,0.077105636,0.014096896
power-pl-train.tsv,0.734446108341217,0.7647951441578149,0.7588424682617188,0.7982646420824295,0.81922279401271,0.8377935090119966,9705,1977,17.392194712,5.551206729,0.094756071,0.010881547
power-pt-train.tsv,0.731677770614624,0.7595396729254997,0.6261603236198425,0.6387625113739763,0.7858639914375628,0.8062077668972348,7692,1651,14.038245785,10.198714392,0.080050108,0.011958688
power-rs-train.tsv,0.8133111596107483,0.799667221297837,0.6857143044471741,0.5975935828877005,0.8778067047112059,0.8820169534317259,15114,3005,26.92714019,24.06296573,0.162336242,0.039753801
power-si-train.tsv,0.696340799331665,0.7367558711086838,0.5358931422233582,0.5020661157024794,0.7209355830346575,0.7526575913560022,9040,1831,16.361093377,7.981952063,0.093818003,0.013096864
power-tr-train.tsv,0.8660101294517517,0.8707848403461653,0.8603421449661255,0.8656531182128452,0.9447040074880101,0.9494974360148672,17384,3351,31.883917257,7.241062949,0.173417052,0.023116716
power-ua-train.tsv,0.7204399704933167,0.7621448212648946,0.5734265446662903,0.4835820895522388,0.7565036838448778,0.7969108420370845,11324,2182,21.037201606,11.150861146,0.105342737,0.026023091
